DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Size
2key,5,415,55,Right,Left,CMD_Alt_Shift,2
2key,5,416,56,Middle,Right,CMD,2
2key,5,417,57,Right,Right,Alt,1
2key,5,418,58,Middle,Middle,None,1
2key,5,419,59,Middle,Middle,CMD_Alt_Shift,2
2key,5,420,60,Middle,Middle,CMD_Shift,1
2key,5,421,61,Middle,Left,None,1
2key,5,422,62,Right,Middle,CMD_Alt_Shift,1
2key,5,423,63,Right,Right,CMD_Alt_Shift,2
2key,5,424,64,Middle,Middle,CMD_Alt_Shift,1
2key,5,425,65,Left,Right,CMD_Shift,2
2key,5,426,66,Right,Left,Alt,2
2key,5,427,67,Left,Right,CMD_Alt_Shift,1
2key,5,428,68,Middle,Left,CMD,1
2key,5,429,69,Middle,Right,None,2
2key,5,430,70,Right,Middle,Alt,1
2key,5,431,71,Middle,Left,CMD_Alt_Shift,1
2key,5,432,72,Right,Middle,CMD_Shift,2
2key,5,433,73,Middle,Right,CMD_Alt_Shift,1
2key,5,434,74,Left,Middle,CMD_Alt_Shift,1
2key,5,435,75,Right,Right,Alt,2
2key,5,436,76,Middle,Middle,CMD,2
2key,5,437,77,Left,Left,CMD_Shift,2
2key,5,438,78,Left,Left,CMD_Shift,1
2key,5,439,79,Middle,Left,Alt,2
2key,5,440,80,Left,Middle,None,1
2key,5,441,81,Left,Left,CMD,1
2key,5,442,82,Left,Middle,CMD_Shift,2
2key,5,443,83,Right,Middle,CMD_Shift,1
2key,5,444,84,Middle,Right,CMD_Shift,2
2key,5,445,85,Left,Left,Alt,2
2key,5,446,86,Middle,Left,None,2
2key,5,447,87,Middle,Middle,Alt,2
2key,5,448,88,Right,Middle,Alt,2
2key,5,449,89,Right,Middle,None,1
2key,5,450,90,Middle,Left,CMD_Alt_Shift,2
2key,6,451,1,Middle,Right,None,2
2key,6,452,2,Middle,Right,CMD_Shift,1
2key,6,453,3,Middle,Middle,CMD,1
2key,6,454,4,Left,Right,Alt,2
2key,6,455,5,Middle,Middle,CMD,2
2key,6,456,6,Right,Left,None,2
2key,6,457,7,Left,Left,Alt,1
2key,6,458,8,Right,Left,CMD,1
2key,6,459,9,Right,Right,CMD,2
2key,6,460,10,Middle,Right,CMD,2
2key,6,461,11,Right,Left,CMD,2
2key,6,462,12,Right,Left,None,1
2key,6,463,13,Right,Left,CMD_Alt_Shift,1
2key,6,464,14,Right,Left,CMD_Alt_Shift,2
2key,6,465,15,Right,Right,CMD_Alt_Shift,2
2key,6,466,16,Right,Right,CMD,1
2key,6,467,17,Left,Middle,CMD,2
2key,6,468,18,Left,Left,CMD,1
2key,6,469,19,Right,Right,None,1
2key,6,470,20,Right,Right,None,2
2key,6,471,21,Left,Right,CMD,1
2key,6,472,22,Left,Right,Alt,1
2key,6,473,23,Left,Middle,None,1
2key,6,474,24,Left,Middle,CMD,1
2key,6,475,25,Right,Right,CMD_Alt_Shift,1
2key,6,476,26,Left,Left,None,2
2key,6,477,27,Left,Middle,CMD_Shift,1
2key,6,478,28,Middle,Left,CMD_Shift,2
2key,6,479,29,Left,Right,CMD_Shift,2
2key,6,480,30,Middle,Left,None,1
2key,6,481,31,Right,Middle,CMD,1
2key,6,482,32,Middle,Middle,Alt,2
2key,6,483,33,Left,Left,Alt,2
2key,6,484,34,Right,Left,Alt,1
2key,6,485,35,Left,Right,CMD_Shift,1
2key,6,486,36,Middle,Right,CMD_Shift,2
2key,6,487,37,Right,Left,CMD_Shift,2
2key,6,488,38,Right,Middle,CMD,2
2key,6,489,39,Right,Middle,Alt,1
2key,6,490,40,Left,Right,None,1
2key,6,491,41,Right,Right,CMD_Shift,2
2key,6,492,42,Middle,Left,Alt,2
2key,6,493,43,Middle,Left,Alt,1
2key,6,494,44,Left,Right,None,2
2key,6,495,45,Left,Middle,Alt,1
2key,6,496,46,Left,Right,CMD,2
2key,6,497,47,Right,Right,Alt,1
2key,6,498,48,Left,Middle,CMD_Shift,2
2key,6,499,49,Left,Middle,Alt,2
2key,6,500,50,Left,Left,CMD_Alt_Shift,2
2key,6,501,51,Middle,Middle,CMD_Alt_Shift,1
2key,6,502,52,Middle,Right,Alt,2
2key,6,503,53,Middle,Left,CMD_Alt_Shift,1
2key,6,504,54,Right,Left,Alt,2
2key,6,505,55,Right,Middle,None,1
2key,6,506,56,Middle,Right,Alt,1
2key,6,507,57,Right,Right,Alt,2
2key,6,508,58,Middle,Middle,None,2
2key,6,509,59,Middle,Right,None,1
2key,6,510,60,Middle,Middle,CMD_Shift,2
2key,6,511,61,Middle,Left,None,2
2key,6,512,62,Right,Middle,CMD_Alt_Shift,2
2key,6,513,63,Left,Left,None,1
2key,6,514,64,Middle,Middle,CMD_Alt_Shift,2
2key,6,515,65,Left,Right,CMD_Alt_Shift,1
2key,6,516,66,Right,Left,CMD_Shift,1
2key,6,517,67,Left,Right,CMD_Alt_Shift,2
2key,6,518,68,Middle,Left,CMD,2
2key,6,519,69,Middle,Right,CMD,1
2key,6,520,70,Right,Middle,Alt,2
2key,6,521,71,Middle,Left,CMD_Alt_Shift,2
2key,6,522,72,Right,Middle,CMD_Alt_Shift,1
2key,6,523,73,Middle,Right,CMD_Alt_Shift,2
2key,6,524,74,Left,Middle,CMD_Alt_Shift,2
2key,6,525,75,Right,Right,CMD_Shift,1
2key,6,526,76,Middle,Middle,Alt,1
2key,6,527,77,Left,Left,CMD_Alt_Shift,1
2key,6,528,78,Left,Left,CMD_Shift,2
2key,6,529,79,Middle,Left,CMD_Shift,1
2key,6,530,80,Left,Middle,None,2
2key,6,531,81,Left,Left,CMD,2
2key,6,532,82,Left,Middle,CMD_Alt_Shift,1
2key,6,533,83,Right,Middle,CMD_Shift,2
2key,6,534,84,Middle,Right,CMD_Alt_Shift,1
2key,6,535,85,Left,Left,CMD_Shift,1
2key,6,536,86,Middle,Left,CMD,1
2key,6,537,87,Middle,Middle,CMD_Shift,1
2key,6,538,88,Right,Middle,CMD_Shift,1
2key,6,539,89,Right,Middle,None,2
2key,6,540,90,Middle,Middle,None,1
2key,7,541,1,Middle,Right,CMD,1
2key,7,542,2,Middle,Right,CMD_Shift,2
2key,7,543,3,Middle,Middle,CMD,2
2key,7,544,4,Left,Right,CMD_Shift,1
2key,7,545,5,Middle,Middle,Alt,1
2key,7,546,6,Right,Left,CMD,1
2key,7,547,7,Left,Left,Alt,2
2key,7,548,8,Right,Left,CMD,2
2key,7,549,9,Right,Right,Alt,1
2key,7,550,10,Middle,Right,Alt,1
2key,7,551,11,Right,Left,Alt,1
2key,7,552,12,Right,Left,None,2
2key,7,553,13,Right,Left,CMD_Alt_Shift,2
2key,7,554,14,Right,Middle,None,1
2key,7,555,15,Left,Left,None,1
2key,7,556,16,Right,Right,CMD,2
2key,7,557,17,Left,Middle,Alt,1
2key,7,558,18,Left,Left,CMD,2
2key,7,559,19,Right,Right,None,2
2key,7,560,20,Right,Right,CMD,1
2key,7,561,21,Left,Right,CMD,2
2key,7,562,22,Left,Right,Alt,2
2key,7,563,23,Left,Middle,None,2
2key,7,564,24,Left,Middle,CMD,2
2key,7,565,25,Right,Right,CMD_Alt_Shift,2
2key,7,566,26,Left,Left,CMD,1
2key,7,567,27,Left,Middle,CMD_Shift,2
2key,7,568,28,Middle,Left,CMD_Alt_Shift,1
2key,7,569,29,Left,Right,CMD_Alt_Shift,1
2key,7,570,30,Middle,Left,None,2
2key,7,571,31,Right,Middle,CMD,2
2key,7,572,32,Middle,Middle,CMD_Shift,1
2key,7,573,33,Left,Left,CMD_Shift,1
2key,7,574,34,Right,Left,Alt,2
2key,7,575,35,Left,Right,CMD_Shift,2
2key,7,576,36,Middle,Right,CMD_Alt_Shift,1
2key,7,577,37,Right,Left,CMD_Alt_Shift,1
2key,7,578,38,Right,Middle,Alt,1
2key,7,579,39,Right,Middle,Alt,2
2key,7,580,40,Left,Right,None,2
2key,7,581,41,Right,Right,CMD_Alt_Shift,1
2key,7,582,42,Middle,Left,CMD_Shift,1
2key,7,583,43,Middle,Left,Alt,2
2key,7,584,44,Left,Right,CMD,1
