DesignName,ParticipantID,TrialID,Block1,First,Size
1dir,13,604,28,S,3
1dir,13,605,29,E,2
1dir,13,606,30,NW,2
1dir,13,607,31,NW,3
1dir,13,608,32,SE,1
1dir,13,609,33,W,3
1dir,13,610,34,E,1
1dir,13,611,35,S,1
1dir,13,612,36,W,1
1dir,13,613,37,SW,2
1dir,13,614,38,SE,2
1dir,13,615,39,S,2
1dir,13,616,40,N,1
1dir,13,617,41,N,2
1dir,13,618,42,NE,2
1dir,13,619,43,NE,3
1dir,13,620,44,E,3
1dir,13,621,45,N,3
1dir,13,622,46,NW,1
1dir,13,623,47,SW,3
1dir,13,624,48,NE,1
1dir,14,625,1,SE,2
1dir,14,626,2,S,3
1dir,14,627,3,N,2
1dir,14,628,4,W,1
1dir,14,629,5,W,2
1dir,14,630,6,N,1
1dir,14,631,7,W,3
1dir,14,632,8,NE,2
1dir,14,633,9,N,3
1dir,14,634,10,SW,3
1dir,14,635,11,E,2
1dir,14,636,12,NW,3
1dir,14,637,13,SW,2
1dir,14,638,14,NE,1
1dir,14,639,15,NE,3
1dir,14,640,16,NW,1
1dir,14,641,17,SW,1
1dir,14,642,18,S,1
1dir,14,643,19,S,2
1dir,14,644,20,NW,2
1dir,14,645,21,E,1
1dir,14,646,22,E,3
1dir,14,647,23,SE,1
1dir,14,648,24,SE,3
1dir,14,649,25,W,3
1dir,14,650,26,SW,1
1dir,14,651,27,SW,2
1dir,14,652,28,E,1
1dir,14,653,29,E,3
1dir,14,654,30,NW,3
1dir,14,655,31,SE,1
1dir,14,656,32,SE,2
1dir,14,657,33,NE,1
1dir,14,658,34,E,2
1dir,14,659,35,S,2
1dir,14,660,36,W,2
1dir,14,661,37,SW,3
1dir,14,662,38,SE,3
1dir,14,663,39,S,3
1dir,14,664,40,N,2
1dir,14,665,41,N,3
1dir,14,666,42,NE,3
1dir,14,667,43,NW,1
1dir,14,668,44,W,1
1dir,14,669,45,S,1
1dir,14,670,46,NW,2
1dir,14,671,47,N,1
1dir,14,672,48,NE,2
1dir,15,673,1,SE,3
1dir,15,674,2,E,1
1dir,15,675,3,N,3
1dir,15,676,4,W,2
1dir,15,677,5,W,3
