DesignName,ParticipantID,TrialID,Block1,Block2,Block,Dir,Size,Repeat,NbAngle
GestureMultiAngle,3,280,1,24,1,S_W,1,1,2
GestureMultiAngle,3,281,1,25,1,SW_NW,3,1,1
GestureMultiAngle,3,282,1,26,1,N_E,1,1,1
GestureMultiAngle,3,283,1,27,1,S_W,3,1,2
GestureMultiAngle,3,284,1,28,1,N_E,2,1,1
GestureMultiAngle,3,285,1,29,1,SW_NW,1,1,1
GestureMultiAngle,3,286,1,30,1,SW_NW,2,1,2
GestureMultiAngle,3,287,1,31,1,SW_NW,4,1,1
GestureMultiAngle,3,288,1,32,1,S_W,4,1,2
GestureMultiAngle,3,289,2,1,2,S_W,1,1,1
GestureMultiAngle,3,290,2,2,2,NE_SE,2,1,1
GestureMultiAngle,3,291,2,3,2,S_W,4,1,1
GestureMultiAngle,3,292,2,4,2,NE_SE,4,1,1
GestureMultiAngle,3,293,2,5,2,NE_SE,4,1,2
GestureMultiAngle,3,294,2,6,2,SW_NW,2,1,1
GestureMultiAngle,3,295,2,7,2,SW_NW,4,1,2
GestureMultiAngle,3,296,2,8,2,SW_NW,3,1,2
GestureMultiAngle,3,297,2,9,2,N_E,1,1,2
GestureMultiAngle,3,298,2,10,2,S_W,3,1,1
GestureMultiAngle,3,299,2,11,2,NE_SE,3,1,1
GestureMultiAngle,3,300,2,12,2,N_E,4,1,1
GestureMultiAngle,3,301,2,13,2,S_W,2,1,2
GestureMultiAngle,3,302,2,14,2,SW_NW,1,1,2
GestureMultiAngle,3,303,2,15,2,N_E,2,1,2
GestureMultiAngle,3,304,2,16,2,N_E,3,1,1
GestureMultiAngle,3,305,2,17,2,S_W,2,1,1
GestureMultiAngle,3,306,2,18,2,NE_SE,1,1,1
GestureMultiAngle,3,307,2,19,2,NE_SE,1,1,2
GestureMultiAngle,3,308,2,20,2,N_E,3,1,2
GestureMultiAngle,3,309,2,21,2,NE_SE,2,1,2
GestureMultiAngle,3,310,2,22,2,NE_SE,3,1,2
GestureMultiAngle,3,311,2,23,2,N_E,4,1,2
GestureMultiAngle,3,312,2,24,2,S_W,1,1,2
GestureMultiAngle,3,313,2,25,2,SW_NW,3,1,1
GestureMultiAngle,3,314,2,26,2,N_E,1,1,1
GestureMultiAngle,3,315,2,27,2,S_W,3,1,2
GestureMultiAngle,3,316,2,28,2,N_E,2,1,1
GestureMultiAngle,3,317,2,29,2,SW_NW,1,1,1
GestureMultiAngle,3,318,2,30,2,SW_NW,2,1,2
GestureMultiAngle,3,319,2,31,2,SW_NW,4,1,1
GestureMultiAngle,3,320,2,32,2,S_W,4,1,2
GestureMultiAngle,3,321,3,1,3,S_W,1,1,1
GestureMultiAngle,3,322,3,2,3,NE_SE,2,1,1
GestureMultiAngle,3,323,3,3,3,S_W,4,1,1
GestureMultiAngle,3,324,3,4,3,NE_SE,4,1,1
GestureMultiAngle,3,325,3,5,3,NE_SE,4,1,2
GestureMultiAngle,3,326,3,6,3,SW_NW,2,1,1
GestureMultiAngle,3,327,3,7,3,SW_NW,4,1,2
GestureMultiAngle,3,328,3,8,3,SW_NW,3,1,2
GestureMultiAngle,3,329,3,9,3,N_E,1,1,2
GestureMultiAngle,3,330,3,10,3,S_W,3,1,1
GestureMultiAngle,3,331,3,11,3,NE_SE,3,1,1
GestureMultiAngle,3,332,3,12,3,N_E,4,1,1
GestureMultiAngle,3,333,3,13,3,S_W,2,1,2
GestureMultiAngle,3,334,3,14,3,SW_NW,1,1,2
GestureMultiAngle,3,335,3,15,3,N_E,2,1,2
